Date,Time,Frequency,Device,Location,Grid 1,Grid 2,Lat,Long,NearHit
2024-01-25,15:25:24,30.325,FM,15RVQ,94122,43747,31.1276226,-93.06165314,TRUE
2024-01-25,19:18:31,30.65,FM,15RVQ,93923,43510,31.12547684,-93.06373596,TRUE
2024-01-25,19:18:38,30.65,FM,15RVQ,93898,43493,31.12532425,-93.06400299,TRUE
2024-01-25,19:18:40,30.65,FM,15RVQ,93902,43496,31.12534904,-93.06395721,TRUE
2024-01-25,19:18:47,30.65,FM,15RVQ,93907,43499,31.12537575,-93.06391144,TRUE
2024-01-25,19:18:51,30.65,FM,15RVQ,93910,43501,31.12539482,-93.06388092,TRUE
2024-01-25,19:19:03,30.65,FM,15RVQ,93902,43496,31.12535095,-93.06395721,TRUE
2024-01-25,19:19:14,30.65,FM,15RVQ,93897,43492,31.12531853,-93.06401062,TRUE
2024-01-25,19:19:19,30.65,FM,15RVQ,93887,43486,31.1252594,-93.06411743,TRUE
2024-01-25,19:19:25,30.65,FM,15RVQ,93926,43512,31.125494,-93.06370544,TRUE
2024-01-25,19:19:28,30.65,FM,15RVQ,93903,43496,31.12535286,-93.06394958,TRUE
2024-01-25,19:19:30,30.65,FM,15RVQ,93897,43492,31.12532043,-93.06401062,TRUE
2024-01-25,19:19:35,30.65,FM,15RVQ,93891,43489,31.1252861,-93.06407166,TRUE
2024-01-25,19:19:39,30.65,FM,15RVQ,93886,43485,31.12525177,-93.06413269,TRUE
2024-01-25,19:19:42,30.65,FM,15RVQ,93890,43487,31.12527466,-93.06408691,TRUE
2024-01-25,19:19:47,30.65,FM,15RVQ,93894,43490,31.12529945,-93.06404877,TRUE
2024-01-25,19:19:49,30.65,FM,15RVQ,93893,43490,31.12529373,-93.0640564,TRUE
2024-01-25,19:19:53,30.65,FM,15RVQ,93905,43498,31.12536812,-93.0639267,TRUE
2024-01-25,19:19:58,30.65,FM,15RVQ,93904,43497,31.1253624,-93.06393433,TRUE
2024-01-25,19:20:00,30.65,FM,15RVQ,93909,43500,31.1253891,-93.06388855,TRUE
2024-01-25,19:20:09,30.65,FM,15RVQ,93894,43490,31.12529945,-93.06404114,TRUE
2024-01-25,22:51:12,30.65,FM,15RVQ,93535,43319,31.12375259,-93.06781006,TRUE
2024-01-25,22:49:12,30.825,FM,15RVQ,93586,43327,31.12382507,-93.06726837,TRUE
2024-01-25,22:43:12,30.875,FM,15RVQ,93554,43332,31.12386894,-93.06761169,TRUE
2024-01-25,20:48:19,30.95,FM,15RVQ,93507,43318,31.12374496,-93.06809998,TRUE
2024-01-25,22:53:22,31,FM,15RVQ,93566,43358,31.12410164,-93.06748199,TRUE
2024-01-25,22:52:52,31.25,FM,15RVQ,94315,43657,31.12681007,-93.05963135,TRUE
2024-01-25,19:15:39,31.275,FM,15RVQ,93918,43506,31.12544441,-93.06378937,TRUE
2024-01-25,22:51:32,31.275,FM,15RVQ,93539,43351,31.1240406,-93.06776428,TRUE
2024-01-25,22:44:42,31.375,FM,15RVQ,93982,43472,31.12513351,-93.06311798,TRUE
2024-01-25,19:18:10,31.4,FM,15RVQ,93894,43490,31.12529564,-93.06404877,TRUE
